"OSrXXb","rllt__details","yi40Hd","RDApEe","rllt__details 2","rllt__details 3","rllt__details 4","yYlJEf href","BSaJxc","yYlJEf href 2","UbRuwe","vzRMeAg4Oi8__kl-trunc-name","sBhnyP5sXkG__rtng","sBhnyP5sXkG__number-of-reviews","YQ4gaf src","gqguwf","gqguwf 2"
"ורטיגו מוזיקה","· תקליטן","4.4","(7)","02-563-6633","מעל 5 שנות פעילות · בית זית ·","","","","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","ורטיגו מוזיקה","4.4","(7)","","",""
"קאלופה (תקליטן לחתונה / תקליטן לחתונות / DJ לחתונה / די ג'יי לאירועים)","· תקליטן","5.0","(9)","03-797-9595","מעל 3 שנות פעילות · שוהם ·","פתוח 24 שעות","https://kalopa.co.il/","אתר","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","קאלופה (תקליטן לחתונה / תקליטן לחתונות / DJ לחתונה / די ג'יי לאירועים)","5.0","(9)","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAoCAMAAAC7IEhfAAAAflBMVEVHcEzs8v/b6P/a5//V5P+91f+jxP+gw/+hxP+ox//B1//X5P/4+v/M3v/Q4f/9/f/u9P+ty/+xzf/z9/+jxv+yzf+81P+avv13ne9PfOM5bt+BpvIyat4+cd9DdOCStvmIrfVeiOdslOuTtf+Qsv+HrP+NsP+4zv9Tg/Kpw/9P6VkYAAAAKnRSTlMAJUtjcbD2///qplcQin4ELNzPHv/OtP///////////////9rPsKlt8ITWgCk1AAABgUlEQVR4AX2VBZLDMAwAw1LK4AsYAoft/z94obHk0BaGdkQmb44fhFEUBr63SxgngD0A6eG4ZZ3OCTAQ08t1zYtIs6ThMlwMqxxmQW932ODxdLwUNrkz88TioRhAsHxQ9gwsIi9KKcsiF6xO2y/zlDZVh9GKmeGUOCGv0NWELshMx+RnsNTW68ya6rz03pUFLCtGyUL2YgiWXHNR5xTy6LSMjeSibNBpPCFRuaJCnvsGexEtT+/IxO0aIeDTBtEa8kwrgM/8AgTO50hEjghCWZPWcBIjcMzGyC5999d0npP6CA6Iqi3LViGCQ2DHQyrbjnw8XjKLOIqziKm7azunborPjkLVKNDduyFpTSulNANS6laBoE1B20yoqmuY0cnFVEHKNi62slogy3wwL3QU+OoxTIV0FPqZY6MXEu21kI4rFmZdNJ8CDuwCEDvix5VfKdvi3b18vrbEb+51nH7Wxd/lXfr3Wmqvv9Wr+f2aaW83HOP487LW79HbxQ/+OpbPxz+OulJiB8BuewAAAABJRU5ErkJggg==","""אלוף עולם לאירוע מושלם""",""
"תקליטן בירושלים - DJ LIOR ILUK","· תקליטן","5.0","(7)","054-791-0353","מעל 5 שנות פעילות · ירושלים ·","פתוח 24 שעות","https://www.facebook.com/DJLioriLuk","אתר","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","תקליטן בירושלים - DJ LIOR ILUK","5.0","(7)","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAoCAMAAAC7IEhfAAAAflBMVEVHcEzs8v/b6P/a5//V5P+91f+jxP+gw/+hxP+ox//B1//X5P/4+v/M3v/Q4f/9/f/u9P+ty/+xzf/z9/+jxv+yzf+81P+avv13ne9PfOM5bt+BpvIyat4+cd9DdOCStvmIrfVeiOdslOuTtf+Qsv+HrP+NsP+4zv9Tg/Kpw/9P6VkYAAAAKnRSTlMAJUtjcbD2///qplcQin4ELNzPHv/OtP///////////////9rPsKlt8ITWgCk1AAABgUlEQVR4AX2VBZLDMAwAw1LK4AsYAoft/z94obHk0BaGdkQmb44fhFEUBr63SxgngD0A6eG4ZZ3OCTAQ08t1zYtIs6ThMlwMqxxmQW932ODxdLwUNrkz88TioRhAsHxQ9gwsIi9KKcsiF6xO2y/zlDZVh9GKmeGUOCGv0NWELshMx+RnsNTW68ya6rz03pUFLCtGyUL2YgiWXHNR5xTy6LSMjeSibNBpPCFRuaJCnvsGexEtT+/IxO0aIeDTBtEa8kwrgM/8AgTO50hEjghCWZPWcBIjcMzGyC5999d0npP6CA6Iqi3LViGCQ2DHQyrbjnw8XjKLOIqziKm7azunborPjkLVKNDduyFpTSulNANS6laBoE1B20yoqmuY0cnFVEHKNi62slogy3wwL3QU+OoxTIV0FPqZY6MXEu21kI4rFmZdNJ8CDuwCEDvix5VfKdvi3b18vrbEb+51nH7Wxd/lXfr3Wmqvv9Wr+f2aaW83HOP487LW79HbxQ/+OpbPxz+OulJiB8BuewAAAABJRU5ErkJggg==","""בזכות ליאור הגשמתי את החלום שלי  מושלמת.""","לחתונה"
"DJ NIV BEZALELI - תקליטן בירושלים","· תקליטן","4.9","(41)","050-533-1568","מעל 15 שנות פעילות · הר אדר ·","פתוח 24 שעות","http://www.levels.co.il/","אתר","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","","","","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAoCAMAAAC7IEhfAAAAflBMVEVHcEzs8v/b6P/a5//V5P+91f+jxP+gw/+hxP+ox//B1//X5P/4+v/M3v/Q4f/9/f/u9P+ty/+xzf/z9/+jxv+yzf+81P+avv13ne9PfOM5bt+BpvIyat4+cd9DdOCStvmIrfVeiOdslOuTtf+Qsv+HrP+NsP+4zv9Tg/Kpw/9P6VkYAAAAKnRSTlMAJUtjcbD2///qplcQin4ELNzPHv/OtP///////////////9rPsKlt8ITWgCk1AAABgUlEQVR4AX2VBZLDMAwAw1LK4AsYAoft/z94obHk0BaGdkQmb44fhFEUBr63SxgngD0A6eG4ZZ3OCTAQ08t1zYtIs6ThMlwMqxxmQW932ODxdLwUNrkz88TioRhAsHxQ9gwsIi9KKcsiF6xO2y/zlDZVh9GKmeGUOCGv0NWELshMx+RnsNTW68ya6rz03pUFLCtGyUL2YgiWXHNR5xTy6LSMjeSibNBpPCFRuaJCnvsGexEtT+/IxO0aIeDTBtEa8kwrgM/8AgTO50hEjghCWZPWcBIjcMzGyC5999d0npP6CA6Iqi3LViGCQ2DHQyrbjnw8XjKLOIqziKm7azunborPjkLVKNDduyFpTSulNANS6laBoE1B20yoqmuY0cnFVEHKNi62slogy3wwL3QU+OoxTIV0FPqZY6MXEu21kI4rFmZdNJ8CDuwCEDvix5VfKdvi3b18vrbEb+51nH7Wxd/lXfr3Wmqvv9Wr+f2aaW83HOP487LW79HbxQ/+OpbPxz+OulJiB8BuewAAAABJRU5ErkJggg==","""ניב ללא ספק היה הבחירה הנכונה שלנו !!!""","לאירוע"
"תקליטן לאירועים","אין ביקורות · תקליטן","","","053-310-6318","פתוח 24 שעות","","http://www.2all.co.il/web/Sites5/shlomitwito/","אתר","","","","","","","",""
"דיג'יי רפי הפקות - DJ Raphi Productions","· תקליטן","5.0","(71)","058-643-1369","מעל 3 שנות פעילות · ירושלים ·","פתוח 24 שעות","http://www.djraphi.com/","אתר","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","","","","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAYAAABXAvmHAAACfUlEQVR4Ae3ZJ3DjUBAGYAnGOkGjM0kPTQ+N+Vzj9KrQ9ap2hXOezoGNEg4dZOMUdL3Xdz/YK9lZj1X2pYOPKHoz+8d63am/+HCknQbQchpAwSDcgiXYgA68Jx16tkTvDByWAFVIYRNMTpvUtnoQATwI4R2Ykt5BBN5+BTgPO2CU7cJFmwFciOAXGMFXaEAA8zAKPhmlZwE06F0j+AUxuNoB+mANjGAbrlChTkY+ten2S65Bn14AufjP8AQq4BRUgSfwuUsIVyNA2OV7nQVHySzsgmGisgHOC998C2rgKKtBS+gTF4sG8IRvdAfOgmNJTfgldsErEiAUvvkZcCybFfpEmDdAVZiknlgsmH/rT4TJrponQCoMlRVLxb8BA8/Y6MQ/3yRzAGFtc8Vq8QRScMhVPnhkDTDIGn6BM1aLl//LvjBjD2QJcIs1auxn8UyTvXMrS4Al1ig4iOJJwN5bzBJggzWaZ3+/DxO2iyd19u56lgAd1mgUHJLQs1cwYbN4Msbeb2cJ8J418lnx8DfEpK3iic/avFcLQF7DlKXi5QBKnxAPMa1fvPwJaXRiKcQbmFYpXqETi8NoxhAzisWLw6jmRCaH0Cu+8EQ2KGzW/ewh1IoXlxI2FnOJavEKizlpOb0DlawhFIoXl9O2NzSJTvEKGxoSCVvK2Z4hQGHB96XUlpJ4XTbYtSOxqSeXjuKxChfvw8HWnJWDLeJaPFr0IOTfPFkFV/NwdxWMYKfg4e5VamsEq1qHu1zY43i9CQHUYQx8MkbPAmj2OF6PTi84sh+Lq10xheAd1CVfwoe/jFqQaFzyaRmAW7AI69CG96RNzxZ1r1lPL7pPA5wG+A1WN9X/YeJQUwAAAABJRU5ErkJggg==","השירותים המוצעים:","שירותי אודיו/וידאו לאירועים מיוחדים"
"Holy Simchas Wedding, Bar & Bat Mitzvah DJs and Party Productions","· תקליטן","5.0","(96)","054-777-5306","מעל 3 שנות פעילות · ירושלים ·","פתוח ⋅ ייסגר בשעה 22:00","https://holysimchas.business.site/?utm_source=gmb&utm_medium=referral","אתר","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","","","","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAYAAABXAvmHAAACfUlEQVR4Ae3ZJ3DjUBAGYAnGOkGjM0kPTQ+N+Vzj9KrQ9ap2hXOezoGNEg4dZOMUdL3Xdz/YK9lZj1X2pYOPKHoz+8d63am/+HCknQbQchpAwSDcgiXYgA68Jx16tkTvDByWAFVIYRNMTpvUtnoQATwI4R2Ykt5BBN5+BTgPO2CU7cJFmwFciOAXGMFXaEAA8zAKPhmlZwE06F0j+AUxuNoB+mANjGAbrlChTkY+ten2S65Bn14AufjP8AQq4BRUgSfwuUsIVyNA2OV7nQVHySzsgmGisgHOC998C2rgKKtBS+gTF4sG8IRvdAfOgmNJTfgldsErEiAUvvkZcCybFfpEmDdAVZiknlgsmH/rT4TJrponQCoMlRVLxb8BA8/Y6MQ/3yRzAGFtc8Vq8QRScMhVPnhkDTDIGn6BM1aLl//LvjBjD2QJcIs1auxn8UyTvXMrS4Al1ig4iOJJwN5bzBJggzWaZ3+/DxO2iyd19u56lgAd1mgUHJLQs1cwYbN4Msbeb2cJ8J418lnx8DfEpK3iic/avFcLQF7DlKXi5QBKnxAPMa1fvPwJaXRiKcQbmFYpXqETi8NoxhAzisWLw6jmRCaH0Cu+8EQ2KGzW/ewh1IoXlxI2FnOJavEKizlpOb0DlawhFIoXl9O2NzSJTvEKGxoSCVvK2Z4hQGHB96XUlpJ4XTbYtSOxqSeXjuKxChfvw8HWnJWDLeJaPFr0IOTfPFkFV/NwdxWMYKfg4e5VamsEq1qHu1zY43i9CQHUYQx8MkbPAmj2OF6PTi84sh+Lq10xheAd1CVfwoe/jFqQaFzyaRmAW7AI69CG96RNzxZ1r1lPL7pPA5wG+A1WN9X/YeJQUwAAAABJRU5ErkJggg==","השירותים המוצעים:","שירותי אודיו/וידאו לאירועים מיוחדים"
"Dj Aloni mix","אין ביקורות · תקליטן","","","052-620-6960","מעל 3 שנות פעילות · ירושלים ·","פתוח ⋅ ייסגר בשעה 21:15","","","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","Dj Aloni mix","","","","",""
"DJ RL Music","· תקליטן","5.0","(2)","050-582-3565","מעל 3 שנות פעילות · ירושלים ·","פתוח ⋅ ייסגר בשעה 20:00","https://harelringvald.wixsite.com/djrl","אתר","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","DJ RL Music","5.0","(2)","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAYAAABXAvmHAAACfUlEQVR4Ae3ZJ3DjUBAGYAnGOkGjM0kPTQ+N+Vzj9KrQ9ap2hXOezoGNEg4dZOMUdL3Xdz/YK9lZj1X2pYOPKHoz+8d63am/+HCknQbQchpAwSDcgiXYgA68Jx16tkTvDByWAFVIYRNMTpvUtnoQATwI4R2Ykt5BBN5+BTgPO2CU7cJFmwFciOAXGMFXaEAA8zAKPhmlZwE06F0j+AUxuNoB+mANjGAbrlChTkY+ten2S65Bn14AufjP8AQq4BRUgSfwuUsIVyNA2OV7nQVHySzsgmGisgHOC998C2rgKKtBS+gTF4sG8IRvdAfOgmNJTfgldsErEiAUvvkZcCybFfpEmDdAVZiknlgsmH/rT4TJrponQCoMlRVLxb8BA8/Y6MQ/3yRzAGFtc8Vq8QRScMhVPnhkDTDIGn6BM1aLl//LvjBjD2QJcIs1auxn8UyTvXMrS4Al1ig4iOJJwN5bzBJggzWaZ3+/DxO2iyd19u56lgAd1mgUHJLQs1cwYbN4Msbeb2cJ8J418lnx8DfEpK3iic/avFcLQF7DlKXi5QBKnxAPMa1fvPwJaXRiKcQbmFYpXqETi8NoxhAzisWLw6jmRCaH0Cu+8EQ2KGzW/ewh1IoXlxI2FnOJavEKizlpOb0DlawhFIoXl9O2NzSJTvEKGxoSCVvK2Z4hQGHB96XUlpJ4XTbYtSOxqSeXjuKxChfvw8HWnJWDLeJaPFr0IOTfPFkFV/NwdxWMYKfg4e5VamsEq1qHu1zY43i9CQHUYQx8MkbPAmj2OF6PTi84sh+Lq10xheAd1CVfwoe/jFqQaFzyaRmAW7AI69CG96RNzxZ1r1lPL7pPA5wG+A1WN9X/YeJQUwAAAABJRU5ErkJggg==","השירותים המוצעים:","שירותי אודיו/וידאו לאירועים מיוחדים"
"דיג'י דודיק - תקליטנית לאירועים","אין ביקורות · תקליטן","","","054-682-8791","מעל 3 שנות פעילות · מודיעין מכבים רעות ·","","https://wallnights.com/cardq74/","אתר","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","","","","","",""
"","","","","","","","","","","","","","","","",""
"Momentum - Soft Music - מוזיקה לאירועים","Musician","","","רמת גן ·","054-207-0184","פתוח ⋅ ייסגר בשעה 21:00","https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwjH6s3J_9D8AhVXkGgJHby3DbUYABAAGgJ3Zg&ohost=www.google.com&cid=CAESbeD24o3sVF8Iv43rWJGHq2V2NBQ2gOCuclkE-Ei-d1oCJBQVZ2kAs51qKSS_x_GTtEDvGyOQaQyAMkaYZpJBtlNuyps_Z5QPuvyMmZzRS8Gpony5bmqIYlC4qVOJw7aoVSApO6xaY52DPyCBW4k&sig=AOD64_02TsbQgIiR7f2_pfSct_o4wJqcEA&q=&ctype=99&ved=2ahUKEwjPvcfJ_9D8AhV7SPEDHYMaBR84FBCErAF6BAgWEBE&adurl=","אתר","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","Momentum - Soft Music - מוזיקה לאירועים","","","","",""
"חוג'ה רועי","אין ביקורות · תקליטן","","","050-960-9090","מעל 7 שנות פעילות · ירושלים ·","","","","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","חוג'ה רועי","","","","",""
"די ג'יי פרדי - Dj Fredi - תקליטן לחתונה","· תקליטן","5.0","(11)","052-837-4747","מעל 10 שנות פעילות · נופך ·","פתוח 24 שעות","http://www.xn----8hcchdfudzo2e9ai.com/","אתר","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","די ג'יי פרדי - Dj Fredi - תקליטן לחתונה","5.0","(11)","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""מספר 1.
היחיד שהופך כל אירוע למסיבה 🔝🔝🔝""",""
"תומר ורד - freemusic djs","· תקליטן","5.0","(161)","054-228-8433","מעל 10 שנות פעילות · הרצליה ·","פתוח ⋅ ייסגר בשעה 22:00","http://www.freemusic.org.il/","אתר","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","תומר ורד - freemusic djs","5.0","(161)","https://www.gstatic.com/images/icons/material/system/2x/check_circle_outline_googblue_24dp.png","השירותים המוצעים:","מיוזיק בוקס - אתר לבחירת שירים לאירוע"
